paper_title,author_names,year,publication_venue,index
the ntier hub technolog,"rainer a. sommer, thomas r. gulledge, david bailey",2002,acm sigmod record,5390881820f70186a0d8110d
conceptu model and specif generat for b2b busi process base on ebxml,hyoungdo kim,2002,acm sigmod record,5390881820f70186a0d81110
contract in the day of ebusi,"w. hümmer, w. lehner, h. wedekind",2002,acm sigmod record,5390881820f70186a0d8110f
an activ function servic for ebusi applic,"m. cilia, a. p. buchmann",2002,acm sigmod record,5390881820f70186a0d8110e
semant b2b integr issu in ontologyba approach,"zhan cui, dean jones, paul o'brien",2002,acm sigmod record,5390881820f70186a0d81111
a multiag system infrastructur for softwar compon marketplac an ontolog perspect,"riza cenk erdur, oğuz dikenelli",2002,acm sigmod record,5390881820f70186a0d81113
book review column,karl aberer,2002,acm sigmod record,558e0bce0cf2e667580509be
databa and transact process an applicationori approach,"philip m. lewis, arthur bernstein, michael kifer",2002,acm sigmod record,5390881820f70186a0d81116
the role of b2b engin in b2b integr architectur,christoph bussler,2002,acm sigmod record,5390881820f70186a0d81115
what will be,michael dertouzos,2002,acm sigmod record,5390881820f70186a0d81118
the design and perform evalu of altern xml storag strategi,"feng tian, david j. dewitt, jianjun chen, chun zhang",2002,acm sigmod record,5390881820f70186a0d8110b
avi silberschatz speak out on academia versus industri lab startup fever databa phd qualiti the futur of data mine as a research area ip issu how he wouldnt chang a thing and more,marianne winslett,2002,acm sigmod record,5390881820f70186a0d81119
suppli chain infrastructur system integr and inform share,"michael o. ball, meng ma, louiqa raschid, zhengying zhao",2002,acm sigmod record,5390881820f70186a0d81114
reminisc on influenti paper,kenneth a. ross,2002,acm sigmod record,5590d0800cf25001c36ef0ad
data mine practic machin learn tool and techniqu with java implement,"ian h. witten, eibe frank",2002,acm sigmod record,5390881820f70186a0d81117
report on the 18th british nation confer on databa bncod,"carole goble, brian read",2002,acm sigmod record,5390881820f70186a0d8111c
the xml typecheck problem,dan suciu,2002,acm sigmod record,5390881820f70186a0d8111a
too much middlewar,michael stonebraker,2002,acm sigmod record,5390881820f70186a0d8111b
whi i like work in academia,richard thomas snodgrass,2002,acm sigmod record,5390881820f70186a0d8111e
advanc in databa and inform system report of 5th east european confer adbis2001,"albertas caplinskas, johann eder, olegas vasilecas",2002,acm sigmod record,5390881820f70186a0d8111d
busi data manag for businesstobusi electron commerc,"christoph quix, mareike schoop, manfred jeusfeld",2002,acm sigmod record,5390881820f70186a0d81112
support global user profil through trust author,ibrahim cingil,2002,acm sigmod record,5390881820f70186a0d8110c
acm sigmod record,unamed,2002,acm sigmod record,558ce2d0612c5d355d052672
from discrep to declust nearoptim multidimens declust strategi for rang queri,"chung-min chen, christine t. cheng",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89093
monad datalog and the express power of languag for web inform extract,"georg gottlob, christoph koch",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89092
how to evalu multipl rangesum queri progress,"rolfe r. schmidt, cyrus shahabi",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909c
distribut comput of web queri use automata,"marc spielmann, jerzy tyszkiewicz, jan van den bussche",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89099
on the comput of relat view complement,"jens lechtenbörger, gottfried vossen",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909d
conjunct select condit in main memori,kenneth a. ross,2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909a
effici aggreg over object with extent,"donghui zhang, vassilis j. tsotras, dimitrios gunopulos",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909b
valid stream xml document,"luc segoufin, victor vianu",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89095
on the power of walk for queri treestructur data,frank neven,2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89097
fast algorithm for hierarch rang histogram construct,"sudipto guha, nick koudas, divesh srivastava",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a1
knowledg compil queri rewrit view synthesi,"marco cadoli, toni mancini",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a3
the viewselect problem has an exponentialtim lower bound for conjunct queri and view,rada chirkova,2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909f
olap dimen constraint,"carlos a. hurtado, alberto o. mendelzon",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a0
on move object queri extend abstract,"hoda mokhtar, jianwen su, oscar ibarra",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a2
on propag of delet and annot through view,"peter buneman, sanjeev khanna, wang-chiew tan",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d8909e
on the complex of approxim queri optim,"s. chatterji, s. s. k. evani, s. ganguly, m. d. yemmanuru",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890aa
a normal form for xml document,"marcelo arenas, leonid libkin",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89098
contain and equiv for an xpath fragment,"gerome miklau, dan suciu",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89096
lossless regular view,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, moshe y. vardi",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a7
on verifi consist of xml specif,"marcelo arenas, wenfei fan, leonid libkin",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a8
charact memori requir for queri over continu data stream,"arvind arasu, brian babcock, shivnath babu, jon mcalister, jennifer widom",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a5
algorithm and applic of tree and graph search,"dennis shasha, jason t. l. wang, rosalba giugno",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89094
label dynam xml tree,"edith cohen, haim kaplan, tova milo",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a9
answer queri use view with arithmet comparison,"foto afrati, chen li, prasenjit mitra",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a4
least expect cost queri optim what can we expect,"francis chu, joseph halpern, johannes gehrke",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890ab
model and issu in data stream system,"brian babcock, shivnath babu, mayur datar, rajeev motwani, jennifer widom",2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d89091
data integr a theoret perspect,maurizio lenzerini,2002,proceed of the twentyfirst acm sigmodsigactsigart symposium on principl of databa system,5390882420f70186a0d890a6
effici integr and aggreg of histor inform,"mirek riedewald, divyakant agrawal, amr el abbadi",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa3
effici evalu of queri in a mediat for websourc,"vladimir zadorozhny, louiqa raschid, maria esther vidal, tolga urhan, laura bright",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa9
skew handl techniqu in sortmerg join,"wei li, dengfeng gao, richard thomas snodgrass",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab0
besteffort cach synchron with sourc cooper,"chris olston, jennifer widom",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa8
rateba queri optim for stream inform sourc,"stratis d. viglas, jeffrey f. naughton",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa5
implement databa oper use simd instruct,"jingren zhou, kenneth a. ross",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daae
cover index for branch path queri,"raghav kaushik, philip bohannon, jeffrey f naughton, henry f korth",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daad
qur queri and report semistructur data,"yannis papakonstantinou, michalis petropoulos, vasilis vassalos",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab2
statix make xml count,"juliana freire, jayant r. haritsa, maya ramanath, prasan roy, jérôme siméon",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab1
continu adapt continu queri over stream,"samuel madden, mehul shah, joseph m. hellerstein, vijayshankar raman",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa6
workflow manag with servic qualiti guarant,"michael gillmann, gerhard weikum, wolfgang wonner",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab5
an adapt peertop network for distribut cach of olap result,"panos kalnis, wee siong ng, beng chin ooi, dimitris papadias, kian-lee tan",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa4
effici algorithm for minim tree pattern queri,prakash ramanan,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dabb
exploit statist on queri express for optim,"nicolas bruno, surajit chaudhuri",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab8
a scalabl hash rippl join algorithm,"gang luo, curt j. ellmann, peter j. haas, jeffrey f. naughton",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab7
effici knn search on vertic decompo data,"arjen p. de vries, nikos mamoulis, niels nes, martin kersten",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dabd
approxim xml join,"sudipto guha, h. v. jagadish, nick koudas, divesh srivastava, ting yu",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daba
mine databa structur or how to build a data qualiti browser,"tamraparni dasu, theodore johnson, s. muthukrishnan, vladislav shkapenyuk",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab6
accel xpath locat step,torsten grust,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daab
select estim for spatiotempor queri to move object,"yong-jin choi, chin-wan chung",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac7
statist synop for graphstructur xml databa,"neoklis polyzotis, minos garofalakis",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac0
cluster by pattern similar in larg data set,"haixun wang, wei wang, jiong yang, philip s. yu",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac3
minim probe support expen predic for topk queri,"kevin chen-chuan chang, seung-won hwang",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dabf
timeparamet queri in spatiotempor databa,"yufei tao, dimitris papadias",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dabe
store and queri order xml use a relat databa system,"igor tatarinov, stratis d. viglas, kevin beyer, jayavel shanmugasundaram, eugene shekita, chun zhang",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab3
compress sql workload,"surajit chaudhuri, ashish kumar gupta, vivek narasayya",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dacb
dynam multidimens histogram,"nitin thaper, sudipto guha, piotr indyk, nick koudas",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac6
effici execut of join in a star schema,andreas weininger,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad0
a compact btree,"peter bumbulis, ivan t. bowman",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dacf
execut sql over encrypt data in the databaseserviceprovid model,"hakan hacigümüş, bala iyer, chen li, sharad mehrotra",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab4
dwarf shrink the petacub,"yannis sismanis, antonios deligiannakis, nick roussopoulos, yannis kotidis",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac9
wavelet synop with error guarant,"minos garofalakis, phillip b. gibbons",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daca
tpcds take deci support benchmark to the next level,"meikel poess, bryan smith, lubor kollar, paul larson",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad4
midtier cach the timesten approach,the timesten team,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad5
mine long sequenti pattern in a noisi environ,"jiong yang, wei wang, philip s. yu, jiawei han",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac4
autom physic databa design in a parallel databa,"jun rao, chun zhang, nimrod megiddo, guy lohman",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad2
dbcach databa cach for web applic server,"mehmet altinel, qiong luo, sailesh krishnamurthy, c. mohan, hamid pirahesh, bruce g. lindsay, honguk woo, larry brown",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad8
rainbow mappingdriven xqueri process system,"xin zhang, mukesh mulchandani, steffen christ, brian murphy, elke a. rundensteiner",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dada
garlic a new flavor of feder queri process for db2,"vanja josifovski, peter schwarz, laura haas, eileen lin",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dace
the xxl search engin rank retriev of xml data use index and ontolog,"anja theobald, gerhard weikum",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dadb
a mont carlo algorithm for fast project cluster,"cecilia m. procopiuc, michael jones, pankaj k. agarwal, t. m. murali",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac5
coordin backuprecoveri and data consist between databa and file system,"suparna bhattacharya, c. mohan, karen w. brannon, inderpal narang, hui-i hsiao, mahadevan subramanian",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dacc
web cach for databa applic with oracl web cach,"jesse anton, lawrence jacobs, xiang liu, jordan parker, zheng zeng, tie zhong",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad6
an ebxml infrastructur implement through uddi registri and rosettanet pip,"asuman dogac, yusuf tambag, pinar pembecioglu, sait pektas, gokce laleci, gokhan kurt, serkan toprak, yildiray kabak",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dacd
general match a subsequ match method in timeseri databa base on general window,"yang-sae moon, kyu-young whang, wook-shin han",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac2
xcach a semant cach system for xml queri,"li chen, elke a. rundensteiner, song wang",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dade
hierarch subspac sampl a unifi framework for high dimens data reduct select estim and nearest neighbor search,charu c. aggarwal,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac8
distribut queri over lowpow wireless sensor network,"samuel madden, joseph m. hellerstein",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae2
toxgen a templateba data generat for xml,"denilson barbosa, alberto mendelzon, john keenleyside, kelly lyons",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dadc
continu evalu similarityba pattern queri on a stream time seri,"like gao, x. sean wang",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dac1
xl a platform for web servic,"daniela florescu, andreas grünhagen, donald kossmann, steffen rost",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae5
roadrunn automat data extract from datainten web site,"valter crescenzi, giansalvatore mecca, paolo merialdo",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae4
middleti databa cach for ebusi,"qiong luo, sailesh krishnamurthy, c. mohan, hamid pirahesh, honguk woo, bruce g. lindsay, jeffrey f. naughton",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad7
xbase make your gigabyt disk queriabl,"hongjun lu, guoren wang, ge yu, yubin bao, jianhua lv, yaxin yu",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daea
hdey visual cluster of high dimens data,"alexander hinneburg, daniel a. keim, markus wawryniuk",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae9
go public opensourc databa and databa research,philippe bonnet,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daed
gigascop high perform network monitor with an sql interfac,"chuck cranor, yuan gao, theodore johnson, vlaidslav shkapenyuk, oliver spatscheck",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae3
partial result for onlin queri process,"vijayshankar raman, joseph m. hellerstein",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dab9
databa tune principl experi and troubleshoot techniqu part i,"dennis shasha, philippe bonnet",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daf1
databa tune principl experi and troubleshoot techniqu part ii,"dennis shasha, philippe bonnet",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daf2
softwar as a servic asp and asp aggreg,christoph bussler,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daf3
tutori applic server and associ technolog,c. mohan,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daf0
fractal prefetch btree optim both cach and disk perform,"shimin chen, phillip b. gibbons, todd c. mowry, gary valentin",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daaf
process complex aggreg queri over data stream,"alin dobra, minos garofalakis, johannes gehrke, rajeev rastogi",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa7
apex an adapt path index for xml data,"chin-wan chung, jun-ki min, kyuseok shim",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daac
dbxplorer enabl keyword search over relat databa,"sanjay agrawal, surajit chaudhuri, gautam das",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae7
archiv scientif data,"peter buneman, sanjeev khanna, keishi tajima, wang-chiew tan",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daa2
proxyba accel of dynam generat content on the world wide web an approach and implement,"anindya datta, kaushik dutta, helen thomas, debra vandermeer, suresha, krithi ramamritham",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daaa
holist twig join optim xml pattern match,"nicolas bruno, nick koudas, divesh srivastava",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dabc
acm sigmod record,unamed,2002,acm sigmod record,5590d2d80cf237666fc29081
a pictori queri languag for queri geograph databa use posit and olap oper,"elaheh pourabbas, maurizio rafanelli",2002,acm sigmod record,5390882d20f70186a0d8db97
book review column,karl aberer,2002,acm sigmod record,5590dae80cf237666fc294da
data wareh and busi intellig for ecommerc by alan r simon steven l shaffer,frank g. goethals,2002,acm sigmod record,5390882d20f70186a0d8db9f
report on the acm fourth intern workshop on data wareh and olap dolap 2001,joachim hammer,2002,acm sigmod record,5390882d20f70186a0d8dba1
on build an infrastructur for mobil and wireless system report on the nsf workshop on an infrastructur for mobil and wireless system oct 15 2001,"birgitta könig-ries, kia makki, sam makki, charles perkins, niki pissinou, peter reiher, peter scheuermann, jari veijalainen, ouri wolfson",2002,acm sigmod record,5390882d20f70186a0d8dba0
from ternari relationship to relat tabl a case against common belief,rafael camps paré,2002,acm sigmod record,5390882d20f70186a0d8db9b
phoenix project faulttol applic,"roger barga, david lomet",2002,acm sigmod record,5390882d20f70186a0d8dba3
sqlxml is make good progress,"andrew eisenberg, jim melton",2002,acm sigmod record,5390882d20f70186a0d8dba4
queri and mine data stream you on get one look a tutori,"minos garofalakis, johannes gehrke, rajeev rastogi",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daef
cluster valid method part i,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,acm sigmod record,5390882d20f70186a0d8db9a
combin fuzzi inform an overview,ronald fagin,2002,acm sigmod record,5390882d20f70186a0d8dba5
implement xqueri,paul cotton,2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daee
a brief survey of web data extract tool,"alberto h. f. laender, berthier a. ribeiro-neto, altigran s. da silva, juliana s. teixeira",2002,acm sigmod record,5390882d20f70186a0d8dba2
xmdvtool visual interact data explor and trend discoveri of highdimens data set,"elke a. rundensteiner, matthew o. ward, jing yang, punit r. doshi",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daeb
data stream fresh current or stagnant backwat panel,"joseph m. hellerstein, jennifer widom",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8daec
cubeexplor onlin explor of data cube,"jiawei han, jianyong wang, guozhu dong, jian pei, ke wang",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae6
gea a toolkit for gene express analysi,"jessica m. phan, raymond ng",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae8
acdn a content deliveri network for applic,"pradnya karbhari, michael rabinovich, zhen xiao, fred douglis",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dadf
cougar the network is the databa,"wai fu fung, david sun, johannes gehrke",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae1
commix toward effect web inform extract integr and queri answer,"tengjiao wang, shiwei tang, dongqing yang, jun gao, yuqing wu, jian pei",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dae0
quadtr and rtree index in oracl spatial a comparison use gis data,"ravi kanth v kothuri, siva ravada, daniel abugov",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad1
visual coko a debugg for queri optim develop,"daniel j. abadi, mitch cherniack",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dadd
learn tabl access cardin with leo,"volker markl, guy lohman",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad9
the sdss skyserv public access to the sloan digit sky server data,"alexander s. szalay, jim gray, ani r. thakar, peter z. kunszt, tanu malik, jordan raddick, christopher stoughton, jan vandenberg",2002,proceed of the 2002 acm sigmod intern confer on manag of data,5390882d20f70186a0d8dad3
bring order to queri optim,"giedrius slivinskas, christian s. jensen, richard thomas snodgrass",2002,acm sigmod record,5390882d20f70186a0d8db95
data mine concept and techniqu by jiawei han and michelin kamber,"fernando berzal, nicolfás matín",2002,acm sigmod record,5390882d20f70186a0d8db9d
mpeg7 and multimedia databa system,harald kosch,2002,acm sigmod record,5390882d20f70186a0d8db99
mine the world wide web an inform search approach by georg chang marcus j healey editor jame a m mchugh jason t l wang,aris ouksel,2002,acm sigmod record,5390882d20f70186a0d8db9e
the design of a retriev techniqu for highdimens data on tertiari storag,"ratko orlandic, jack lukaszuk, craig swietlik",2002,acm sigmod record,5390882d20f70186a0d8db96
investig xqueri for queri across databa object type,nancy wiegand,2002,acm sigmod record,5390882d20f70186a0d8db98
david dewitt speak out on rethink the cs curriculum whi the databa communiti should be proud whi queri optim doesnt work how supercomput fund is sometim veri poor spent how hes not a good coder and isnt smart enough to do db theori and more,marianne winslett,2002,acm sigmod record,5390882d20f70186a0d8db9c
acm sigmod record,unamed,1995,acm sigmod record,55911ee60cf232eb904fad58
acm sigmod record,unamed,2002,acm sigmod record,5590de410cf2ce4b6f3a09cb
treasur messag,joachim hammer,2002,acm sigmod record,539089ab20f70186a0d96af2
hector garciamolina speak out regard startup how life is get harder delta paper cs in mexico life as a depart chair and more,marianne winslett,2002,acm sigmod record,539089ab20f70186a0d96af9
reminisc on influenti paper,"kenneth a. ross, theodore johnson, richard thomas snodgrass",2002,acm sigmod record,5590dd220cf25001c36ef7eb
a studi on the manag of semant transact for effici data retriev,"shi ming huang, irene kwan, chih he li",2002,acm sigmod record,539089ab20f70186a0d96af5
interview dure a tight job market,"zachary g. ives, qiong luo",2002,acm sigmod record,539089ab20f70186a0d96afc
sqlmed a status report,"jim melton, jan eike michels, vanja josifovski, krishna kulkarni, peter schwarz",2002,acm sigmod record,539089ab20f70186a0d96afb
databa research at the univ of illinoi at urbanachampaign,"m. winslett, k. chang, a. doan, j. han, c. zhai, y. zhou",2002,acm sigmod record,539089ab20f70186a0d96afd
research activ in databa manag and inform retriev at univ of illinoi at chicago,"isabel cruz, ashfaq khokhar, bing liu, prasad sistla, ouri wolfson, clement yu",2002,acm sigmod record,539089ab20f70186a0d96afe
cluster valid check method part ii,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,acm sigmod record,539089ab20f70186a0d96af4
the cougar approach to innetwork queri process in sensor network,"yong yao, johannes gehrke",2002,acm sigmod record,539089ab20f70186a0d96af3
automata theori for xml research,frank neven,2002,acm sigmod record,539089ab20f70186a0d96af8
toward autonom comput with db2 univ databa,"sam s. lightstone, guy lohman, danny zilio",2002,acm sigmod record,539089ab20f70186a0d96afa
introduct to constraint databa,bart kuijpers,2002,acm sigmod record,539089ab20f70186a0d96af6
foundat of statist natur languag process,gerhard weikum,2002,acm sigmod record,539089ab20f70186a0d96af7
book review column,karl aberer,2002,acm sigmod record,5590ce580cf237666fc28d54
reminisc on influenti paper,kenneth a. ross,2000,acm sigmod record,558f35580cf222bc17bc1a3d
advanc xml data process guest editor introduct,karl aberer,2001,acm sigmod record,539089ab20f70186a0d96f55
whi and how to benchmark xml databa,"albrecht schmidt, florian waas, martin kersten, daniela florescu, michael j. carey, ioana manolescu, ralph busse",2001,acm sigmod record,539089ab20f70186a0d96f58
data analysi and mine in the life scienc,nam huyn,2001,acm sigmod record,539089ab20f70186a0d96f5f
the ecoba project databa and web technolog for environ inform system,"luc bouganim, maria claudia cavalcanti, françoise fabret, maria luiza campos, françois llirbat, marta mattoso, rubens melo, ana maria moura, esther pacitti, fabio porto, margareth simoes, eric simon, asterio tanaka, patrick valduriez",2001,acm sigmod record,539089ab20f70186a0d96f5e
careerenhanc servic at sigmod onlin,"alexandros labrinidis, alberto o. mendelzon",2001,acm sigmod record,539089ab20f70186a0d96f61
xml document version,"shu yao chien, vassilis j. tsotras, carlo zaniolo",2001,acm sigmod record,539089ab20f70186a0d96f5b
a general techniqu for queri xml document use a relat databa system,"jayavel shanmugasundaram, eugene shekita, jerry kiernan, rajasekar krishnamurthy, efstratios viglas, jeffrey naughton, igor tatarinov",2001,acm sigmod record,539089ab20f70186a0d96f57
on databa theori and xml,dan suciu,2001,acm sigmod record,539089ab20f70186a0d96f5a
continu queri over data stream,"shivnath babu, jennifer widom",2001,acm sigmod record,539089ab20f70186a0d96f60
the evolut of effect btree page organ and techniqu a person account,david lomet,2001,acm sigmod record,539089ab20f70186a0d96f5d
wrap web data into xml,"wei han, david buttler, calton pu",2001,acm sigmod record,539089ab20f70186a0d96f59
preserv of digit data with selfvalid selfinstanti knowledgeba archiv,"bertram ludäscher, richard marciano, reagan moore",2001,acm sigmod record,539089ab20f70186a0d96f5c
xqueri formal semant state and challeng,peter fankhauser,2001,acm sigmod record,539089ab20f70186a0d96f56
reminisc on influenti paper,kenneth a. ross,2001,acm sigmod record,5590d1070cf25001c36ef105
acm sigmod record,unamed,2001,acm sigmod record,5590e2310cf237666fc298bf
